Заголовок,"Количество коментариев","Количество лайков","Медиа тип","Пост создан",Cсылка
"Завершился 19-й «Международный цирковой фестиваль в г.Латино» Италия!!! 🇮🇹 Главные награды фестиваля достались артистам «Большого Московского цирка» @greatcircus_ru : «Подкидные доски» п/р Анатолия Рубана и «Встречные качели» п/р Алексея Пронина @alex_vip_pronin_ !🇷🇺
Специальный приз «Королевского Цирка Гии Эрадзе» @royalcircusgiaeradze достался Балету «Большого Московского Цирка» п/р Ольги Полтарак @olgapoltarak и Евгения Шевцова @shevtsovevgeny 
Так же Золотые награды с собой увезли акробаты из КНР 🇨🇳 и дрессировщики Лошадей и Тигров Флавио и Бруно Тони(Италия)! 🇮🇹 ПОЗДРАВЛЯЮ🥇👏🥇👏🥇
@mincult_russia @izvestia_ru 
@ria_novosti @1tv @tvrussia @vesti24 @rossiya24official @ntvru @tvc_russia @russkoe_radio @avtoradioru 
#россиявперед#цирк#люблюцирк#большоймосковскийцирк #бмгц#акробаты#лучшиеизлучших #гордимся#ура#молодцы#circus #festival #ilovecircus",43,6789,sidecar,"2018-10-23 02:30:59",https://www.instagram.com/p/BpQP_cohvd7
"И какие меры предпримут «ЗООЗАЩИТНИКИ»???
13.000 бегемотов оккупировали реку,которая рассчитана максимум на 5.000.
Один вид животных преобладает над всеми остальными и к сожалению,но другого выхода просто нет!!!
Я мало верю в то,что хоть кто то из зоошизоидов поедет в Замбию прикрывать своими телами или спонсируют переезд несчастных бегемотов,но зато с удовольствием будут продолжать бороться с цирками!!!🤦‍♂️🤦‍♂️🤦‍♂️
#вита#законнуженсейчас #закон_нужен_сейчас #зоозащита#зоошиза#такаяжизнь#бегемоты#замбия #африка#вита",223,7547,image,"2018-10-22 22:41:28",https://www.instagram.com/p/BpP1uW0BUeZ
"В Италии г.Латино(100 км от Рима) проходит «19-й Международный цирковой фестиваль»!
Яркими представителями циркового искусства стали Номера с животными!!!
Победителей фестиваля жюри объявит на вечернем Гала-шоу!!! 🇮🇹 🥇👏👏👏
#италия#латино#цирковойфестиваль #цирксживотными#законнуженсейчас #закон_нужен_сейчас #зациркбезживотных #циркбезживотных #зоозащита#зоошиза#люблюцирк#запашный #circusfestival #circus#болеемзанаших",65,8993,sidecar,"2018-10-22 15:59:09",https://www.instagram.com/p/BpPHruoB9U-
"И спорт зал не нужен ☝️🥇🤣
#такогоневидел #первыйраз#удивительноерядом #россия#этопитердетка #питер#санктпетербург #суперотель#гостиница#эдгардзапашный #saintpetersburg #piter#superhotel #hotel",202,9288,video,"2018-10-22 02:03:36",https://www.instagram.com/p/BpNnodQBDtQ
"Наша мама @tatyanazapashnaya и Гия Эрадзе @gia_eradze в данный момент трудятся на Международном цирковом фестивале в г.Латино Италия!!!
На манеже балет и акробаты с качелями п/р Алексея Пронина @alex_vip_pronin_ , представляющие «Большой Московский Цирк» @greatcircus_ru 👏👏👏
#italia #italy #latino#circusfestival #минкульт#министерствокультуры#festival#мэриямосквы #москва#россия#болеемзанаших #цирк#русскиекачели @mincult_russia",30,6995,video,"2018-10-21 21:03:04",https://www.instagram.com/p/BpNFDPMi6ye
"А я ещё вот так могу ☝️😎😆
#цирк#запашный #zapashnybrotherscircus #zapashny #circus#djigit #джигитовка#лошади #circusanimals #greatmoscowcircus 
Фото @elenablednykh 😍",137,9539,image,"2018-10-21 17:37:16",https://www.instagram.com/p/BpMuHetByYU
"ДА КАК ТАК ТО!?!?🤷‍♂️😡🤷‍♂️
#странность#дакактак #воткактотак #загадка#надоподумать #тарелки#иллюзия #магия #елкипалки",294,8059,image,"2018-10-21 14:46:26",https://www.instagram.com/p/BpMakUIh9uX
"«Воздушная гимнастка из Красноярска упала с высоты во время выступления на фестивале «Под сводом старого шатра» в новокузнецком цирке. 19-летняя артистка исполняла номер без страховки. Об этом телеканалу «360» сообщил информированный источник.»
#падениегимнистки#чп#чпвцирке #цирк#новокузнецк#circus#gimnastic #воздушнаягимнастика#360#телеканал360",259,7970,video,"2018-10-20 19:14:32",https://www.instagram.com/p/BpKUNdNhKpJ
"В эту субботу я хочу вам рассказать о Талантливой и Трудолюбивой Гузель Хасановой-Азизовой!😍
Гузель является самой титулованной спортсменкой в «Цирке Братьев Запашных» : 3-х кратная чемпион России,чемпион Европы и 4-х кратная чемпион мира по акробатике,обладательница Кубка мира ,ЗМС и это далеко не все ее награды!🥇🥇🥇
Вот как сама Гузель рассказала нам про себя:
«Я родилась 16 мая в г.Набережные Челны. С 6 лет начала заниматься спортивной акробатикой.Как то на соревнованиях меня заметила тренер из Краснодара и пригласила к себе тренироваться.Краснодар считается лучшей спортивной школой по акробатике. В 14 лет я поехала туда,так как мечтала стать Чемпионкой Мира☝️
В 2002 я стала лучшим спортсменом годав республике Татарстан!
В 2004 закончила карьеру спортсмена.
Закончила Кубанский колледж и Академию Ф.К. и Спорта с красным дипломом👏
Хотелось еще где либо показать себя.Мечтала работать в цирке и мечта сбылась в 2007.Попала в Большой Московский цирк в номер акробаты-вольтижеры п/р Козакова О.А. Затем в 2011 году нас взяли в коллектив ЦБЗ!Здесь я пробовала себя в разных жанрах :воздух ,полет,акробатическая четверка. Очень хочется попробовать в жанре «па-де-де» и «канат»(канат я сейчас репетирую😉) »
В 2014 г. Гузель стала мамой Эмилии!
В 2017 г. появился сын Тимур!
В 2018 г. с номером «Партерная Рамка с вольтижом» выиграла на Всемирном Фестивале Циркового Искусства «Идол 2018»👍🔥👏
#талантливыеитрудолюбивые #хасанова #татарстан#казань#спорт#чемпионкамира #федоремельяненко #запашный#немов#утяшева#цбз#бмгц #лучшеедлялучших #circus #simplythebest",35,7038,sidecar,"2018-10-20 15:01:33",https://www.instagram.com/p/BpJ3gHqB6dx
"МОЛОДЦЫ @shnurovs
@euro.show #ленинград #шнуров#зенитарена #санктперербург #эторекорд#поздравляю#оченькрато#всемспасибо #хиты #zenitarena #zenit #saintpetersburg #piter #питер",175,8820,video,"2018-10-20 01:57:40",https://www.instagram.com/p/BpIdY1OBz7P
"«Хорошо быть царём!»☝️😎🤣
#петрпервый #царьпетр #петрпервый #государь #указ #1708 #goodtobeking #king#санктпетербург #питер #saintpitersburg",83,8558,image,"2018-10-19 20:57:42",https://www.instagram.com/p/BpH7dvzBOGw
"Новое шоу Братьев Запашных! Билеты уже в продаже!!!☝️🇷🇺👍
В шоу примут участие ведущие артисты Большого Московского цирка @greatcircus_ru и компании Росгосцирк,а так же дрессированные ЛЬВЫ,СОБАКИ,МЕДВЕДИ,КОЗЫ и ЛОШАДИ!!!👏👏👏
Автор сценария и режиссер Аскольд Запашный @askoldzap #ofu #ufo#цирк#лучшеешоу#осд#osd #сделановроссии#лужники#гцкзроссия #россия#бмгц#circus#greatestshow #circus#circusshow #лучшеедлялучших#началопродаж #этосупер",45,5550,video,"2018-10-19 19:30:46",https://www.instagram.com/p/BpHw9O5BTv7
