Link;Members;Daily Joined;Daily Left;Weekly Joined;Weekly Left;Monthly Joined;Monthly Left
http://instagram.com/biodermarussia;13093;26;0;200;0;685;2
http://instagram.com/uriage_russia;11904;1;0;337;0;1187;0
http://instagram.com/eauthermaleavenerussia;10781;17;0;220;0;662;24
http://vk.com/uriagerussia;5380;15;3;200;16;468;73
http://facebook.com/adidas;33815174;9224;0;59843;0;259388;0
http://facebook.com/PUMARUSSIA;19569216;3054;0;35862;0;118278;0
http://facebook.com/NikeRunningRussia;17116766;679;0;2716;678;41643;2310
http://facebook.com/UnderArmourRussia;9830091;3876;0;22660;0;82038;0
http://facebook.com/ReebokRussia;8854479;2620;0;19700;0;111024;0
http://facebook.com/NikeWomenRussia;5515748;0;272;0;2547;2698;5834
http://facebook.com/ReebokClassicRussia;1089429;498;0;4244;0;16006;0
http://vk.com/adidas;651084;603;118;2269;926;11222;4205
http://vk.com/originals;528677;164;141;2599;899;10502;4091
http://vk.com/puma;284166;65;48;486;341;4074;1469
http://instagram.com/adidasrussia;260653;663;0;7353;0;18794;0
http://instagram.com/reebok_russia;249199;661;0;4856;0;10526;9
http://vk.com/reebok;204145;54;44;386;341;2715;1468
http://vk.com/nikerunning;145458;177;31;689;233;2772;979
http://vk.com/reebok_training;84881;9;12;48;93;221;408
http://vk.com/nikesportswear;74752;8;22;71;88;375;401
http://vk.com/nikewomenrussia;63591;20;15;130;101;712;527
http://vk.com/reebokbemorehuman;47775;98;16;472;82;1654;353
http://vk.com/reebokclassics;36020;27;15;289;65;747;331
http://facebook.com/NikeSportswearRussia;24913;2;0;6;10;11;52
http://vk.com/reebokinparks;1611;8;0;57;2;192;22
http://vk.com/reebokopen;1301;4;0;67;7;249;39
http://vk.com/sportmaster;394812;376;92;2781;714;11231;3068
http://ok.ru/sportmaster;383359;4;0;19;66;33;281
http://instagram.com/sportmaster_official;107243;152;0;1024;0;4281;0
http://vk.com/columbia;90915;6;10;55;90;322;455
http://vk.com/vans1966;88599;94;48;705;303;3043;1315
http://vk.com/converse_russia;68479;39;34;296;192;1258;868
http://facebook.com/sportmaster.ru;55699;15;0;74;5;252;27
http://vk.com/stern_bikes;47413;3;6;28;61;119;273
http://vk.com/skechersrussia;31223;3;7;18;26;116;151
http://instagram.com/vans_russia;24034;5;0;203;5;826;12
http://vk.com/keddo_ru;23169;7;2;50;44;275;210
http://instagram.com/skechersrussia;15218;7;0;29;23;51;119
http://instagram.com/keddoshoes;13391;60;0;89;60;181;298
http://instagram.com/catfootwearrussia;1224;4;0;18;5;114;15
http://facebook.com/Volkswagenrussia;33207976;5460;0;37475;0;177870;0
http://facebook.com/RenaultRu;18589640;1440;0;7128;0;51489;0
http://facebook.com/JaguarRussia;17170908;346;0;7142;0;22301;5359
http://facebook.com/LandRoverLife;15937334;906;0;4618;192;15598;1891
http://facebook.com/InfinitiRussia;4114759;1027;0;8750;0;34777;0
http://vk.com/hyundairussia;417868;209;231;1858;1399;7544;5829
http://facebook.com/Audiru;323796;42;0;422;0;1541;0
http://facebook.com/HyundaiRussia;314124;59;0;199;6;838;12
http://vk.com/renaultru;205290;155;79;1073;515;4881;2406
http://vk.com/infinitirussia;192935;26;29;218;235;991;1024
http://vk.com/volkswagenrussia;175776;62;36;518;268;2722;1272
http://instagram.com/bmwru;165997;180;0;1647;0;5047;0
http://instagram.com/mbrussia;148232;122;0;1283;0;5780;0
http://facebook.com/BMWRussia;130482;0;1;1;43;62;100
http://instagram.com/audirussia;121746;1175;0;6516;0;11442;0
http://vk.com/landrover_life;121505;16;18;80;130;466;615
http://facebook.com/MercedesBenzRussia;115386;10;0;23;14;138;49
http://instagram.com/lexusrussia;101450;130;0;805;0;3522;0
http://facebook.com/LexusRu;98783;67;0;680;0;1400;45
http://instagram.com/landroverru;61260;33;0;546;0;2153;0
http://instagram.com/infiniti_russia;51730;149;0;659;0;2025;0
http://vk.com/volvocarsrus;47478;19;12;175;77;856;318
http://facebook.com/VolvoCarsRus;46964;13;0;110;0;407;6
